"Timestamp","Do you have a library card?","About how many times a year do you visit a public library?","About how many items per year does your household check out from a public library?","Of the above, about how many are speculative fiction (sci-fi, fantasy, horror, alternate history, and similar)?","Do you like to read any of the following (mark all that apply)?","What is your preference for print versus electronic books?","When choosing a book to read, how important are the following factors? [High rating online (e.g. on Goodreads or Amazon)]","When choosing a book to read, how important are the following factors? [I recognize the author.]","When choosing a book to read, how important are the following factors? [It is the first book in a series.]","When choosing a book to read, how important are the following factors? [I am a big fan of this sub-genre.]","When choosing a book to read, how important are the following factors? [I have read other books in this series.]","When choosing a book to read, how important are the following factors? [The library has several other books in this series.]","When choosing a book to read, how important are the following factors? [This book ties in with or is related to a movie or TV show that I like. ]","When choosing a book to read, how important are the following factors? [The book is on the ""new books"" shelf or has a ""new"" sticker.]","When choosing a book to read, how important are the following factors? [I read a review of this book.]","When choosing a book to read, how important are the following factors? [I've heard this book is a ""classic"".]","When choosing a book to read, how important are the following factors? [A library employee recommended this book.]","When choosing a book to read, how important are the following factors? [This book won a reward.]","When choosing a book to read, how important are the following factors? [Other (please write in below)]","If you filled in anything for ""other"" above, what did you have in mind?","Do any of the following describe you? (mark all that apply)","What is your age?","What is the highest level of education you have completed?","What is your gender?","How many people live in your household?","What is your annual household income?","What is your zip code?"
"2018/04/26 4:30:02 PM MDT","Yes","21 or more times per year","More than fifty items","21-50 items","Young Adult Novels;Adult Novels;Short Fiction;Audiobooks","2","Moderately Important","Very Important","Moderately Important","Moderately Important","Very Important","Not Very Important","Moderately Important","Not At All Important","Not Very Important","Not Very Important","Not Very Important","Not Very Important","","","Public Librarian","35-54","Masters Degree and/or professional license","Female","2-3","$50,001 to $100,000","85345"
"2018/04/26 4:34:04 PM MDT","Yes","21 or more times per year","More than fifty items","More than fifty items","Young Adult Novels;Adult Novels","3","Very Important","Very Important","Very Important","Very Important","Very Important","Very Important","Very Important","Not Very Important","Moderately Important","Not Very Important","Very Important","Very Important","","","Public Librarian","35-54","Masters Degree and/or professional license","Female","4-6","$101,000 to $250,000","83440"
"2018/04/26 4:35:09 PM MDT","Yes","21 or more times per year","More than fifty items","More than fifty items","Young Adult Novels;Adult Novels;Short Fiction;Audiobooks","2","Moderately Important","Not Very Important","Not Very Important","Very Important","Not Very Important","Not Very Important","Not At All Important","Not Very Important","Very Important","Moderately Important","Very Important","Very Important","Very Important","I follow a few POC on social media who do literature reviews in the sci fi/fantasty genres","Public Librarian","25-34","Masters Degree and/or professional license","Female","2-3","$50,001 to $100,000","02539"
"2018/04/26 4:36:36 PM MDT","Yes","21 or more times per year","More than fifty items","6-20 items","Adult Novels;Audiobooks","4","Not Very Important","Very Important","Moderately Important","Moderately Important","Extremely Important","Not At All Important","Not At All Important","Not At All Important","Very Important","Not At All Important","Moderately Important","Not At All Important","","","Public Librarian","35-54","Some College","Female","2-3","Don't know or prefer not to say","56540"
"2018/04/26 4:36:47 PM MDT","Yes","4-10 times per year","21-50 items","6-20 items","Adult Novels;Short Fiction","4","Moderately Important","Very Important","Not At All Important","Not Very Important","Extremely Important","Not At All Important","Moderately Important","Not At All Important","Extremely Important","Very Important","Moderately Important","Not At All Important","","","Humanities Scholar or Academic Librarian","35-54","Masters Degree and/or professional license","Male","2-3","$101,000 to $250,000","90631"
"2018/04/26 4:45:22 PM MDT","Yes","21 or more times per year","More than fifty items","6-20 items","Young Adult Novels;Adult Novels;Audiobooks","1","Not Very Important","Moderately Important","Moderately Important","Very Important","Very Important","Very Important","Moderately Important","Very Important","Extremely Important","Not Very Important","Moderately Important","Moderately Important","","","Public Librarian","25-34","Masters Degree and/or professional license","Female","One","$50,001 to $100,000","77062"
"2018/04/26 4:47:04 PM MDT","Yes","21 or more times per year","More than fifty items","6-20 items","Adult Novels;Audiobooks","1","Not Very Important","Not Very Important","Not Very Important","Not Very Important","Not Very Important","Not Very Important","Not Very Important","Not At All Important","Not At All Important","Not Very Important","Moderately Important","Not At All Important","","","Public Librarian","25-34","Masters Degree and/or professional license","Male","2-3","$101,000 to $250,000","91780"
"2018/04/26 4:48:15 PM MDT","Yes","21 or more times per year","More than fifty items","6-20 items","Young Adult Novels;Adult Novels;Short Fiction;Audiobooks","2","Moderately Important","Moderately Important","Moderately Important","Very Important","Moderately Important","Moderately Important","Not Very Important","Not Very Important","Not Very Important","Moderately Important","Very Important","Moderately Important","Not At All Important","","Public Librarian","25-34","Masters Degree and/or professional license","Female","4-6","$20,000 to $50,000","92203"
"2018/04/26 4:49:39 PM MDT","Yes","21 or more times per year","More than fifty items","6-20 items","Young Adult Novels;Adult Novels;Audiobooks","4","Not At All Important","Not Very Important","Not At All Important","Not At All Important","Not At All Important","Extremely Important","Not At All Important","Moderately Important","Very Important","Not At All Important","Extremely Important","Moderately Important","","A good summary or a read alike to another book I have enjoyed","Public Librarian","35-54","Masters Degree and/or professional license","Female","4-6","$101,000 to $250,000","08844"
"2018/04/26 4:51:57 PM MDT","Yes","21 or more times per year","More than fifty items","6-20 items","Adult Novels","2","Moderately Important","Not At All Important","Not At All Important","Not Very Important","Not At All Important","Not At All Important","Not At All Important","Not Very Important","Moderately Important","Not Very Important","Not Very Important","Moderately Important","","","Public Librarian","35-54","Masters Degree and/or professional license","Female","One","$20,000 to $50,000","59701"
"2018/04/26 4:53:18 PM MDT","Yes","21 or more times per year","21-50 items","6-20 items","Young Adult Novels;Adult Novels;Short Fiction","1","Moderately Important","Moderately Important","Moderately Important","Extremely Important","Extremely Important","Very Important","Moderately Important","Very Important","Very Important","Moderately Important","Very Important","Moderately Important","","","Public Librarian;Humanities Scholar or Academic Librarian","25-34","Bachelors degree","Female","2-3","$20,000 to $50,000","21797"
"2018/04/26 4:55:08 PM MDT","Yes","21 or more times per year","More than fifty items","6-20 items","Young Adult Novels;Adult Novels;Short Fiction;Audiobooks","1","Not Very Important","Not Very Important","Not At All Important","Moderately Important","Not Very Important","Not Very Important","Not At All Important","Not Very Important","Not Very Important","Not Very Important","Moderately Important","Moderately Important","Not At All Important","","Public Librarian","35-54","Masters Degree and/or professional license","Male","2-3","Don't know or prefer not to say","90026"
"2018/04/26 4:55:11 PM MDT","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2018/04/26 5:02:09 PM MDT","Yes","21 or more times per year","21-50 items","6-20 items","Young Adult Novels;Adult Novels;Audiobooks","4","Moderately Important","Not Very Important","Not Very Important","Moderately Important","Moderately Important","Very Important","Moderately Important","Not Very Important","Not Very Important","Not Very Important","Very Important","Not At All Important","","","Public Librarian","25-34","Masters Degree and/or professional license","Female","2-3","$50,001 to $100,000","48801"
"2018/04/26 5:06:15 PM MDT","Yes","21 or more times per year","More than fifty items","6-20 items","Young Adult Novels;Adult Novels;Short Fiction;Audiobooks","4","Moderately Important","Moderately Important","Very Important","Moderately Important","Very Important","Very Important","Not Very Important","Not Very Important","Extremely Important","Extremely Important","Extremely Important","Extremely Important","","","Public Librarian","35-54","Masters Degree and/or professional license","Female","2-3","$50,001 to $100,000","28590"
"2018/04/26 5:10:22 PM MDT","Yes","21 or more times per year","More than fifty items","21-50 items","Young Adult Novels","7","Moderately Important","Not At All Important","Extremely Important","Moderately Important","Very Important","Extremely Important","Not Very Important","Not At All Important","Not At All Important","Not At All Important","Moderately Important","Not At All Important","Not At All Important","","Public Librarian","25-34","Two year degree and/or trade apprenticeship","Female","2-3","$50,001 to $100,000","95453"
"2018/04/26 5:16:33 PM MDT","Yes","21 or more times per year","21-50 items","6-20 items","Young Adult Novels","1","Not Very Important","Not At All Important","Very Important","Moderately Important","Moderately Important","Moderately Important","Not At All Important","Moderately Important","Not Very Important","Not Very Important","Moderately Important","Moderately Important","","","Public Librarian","18-24","Some College","Female","4-6","Under $20,000","06260"
"2018/04/26 5:18:22 PM MDT","Yes","21 or more times per year","21-50 items","21-50 items","Young Adult Novels;Adult Novels;Short Fiction;Audiobooks","4","Moderately Important","Not At All Important","","Very Important","Very Important","Moderately Important","Not At All Important","Not At All Important","Not Very Important","Not At All Important","Not Very Important","Moderately Important","","","Public Librarian","35-54","Masters Degree and/or professional license","Female","2-3","$101,000 to $250,000","97267"
"2018/04/26 5:24:38 PM MDT","Yes","21 or more times per year","21-50 items","6-20 items","Young Adult Novels;Adult Novels","1","Not At All Important","Not Very Important","Very Important","Not At All Important","Not At All Important","Very Important","Not At All Important","Not At All Important","Not At All Important","Not At All Important","Not At All Important","Not At All Important","","","Public Librarian","25-34","High school diploma or GED","Female","2-3","Don't know or prefer not to say",""
"2018/04/26 5:27:07 PM MDT","Yes","11-20 times per year","More than fifty items","21-50 items","Young Adult Novels;Adult Novels;Audiobooks","3","Moderately Important","Moderately Important","Very Important","Moderately Important","Very Important","Not Very Important","Not At All Important","Not At All Important","Moderately Important","Not At All Important","Moderately Important","Not Very Important","","","Public Librarian","35-54","Masters Degree and/or professional license","Female","2-3","Don't know or prefer not to say","08852"
"2018/04/26 5:28:07 PM MDT","Yes","4-10 times per year","2-5 items","One or fewer items","Short Fiction","1","Moderately Important","Very Important","Moderately Important","Extremely Important","Very Important","Not Very Important","Not Very Important","Not Very Important","Moderately Important","Moderately Important","Very Important","Moderately Important","","","Humanities Scholar or Academic Librarian","35-54","Masters Degree and/or professional license","Male","2-3","$50,001 to $100,000","46208"
"2018/04/26 5:29:55 PM MDT","Yes","Less than once per year","21-50 items","6-20 items","Young Adult Novels;Adult Novels;Audiobooks","3","Not At All Important","Extremely Important","Not Very Important","Extremely Important","Extremely Important","Extremely Important","Not At All Important","Not Very Important","Not At All Important","Not At All Important","Not At All Important","Not At All Important","","","Entertainment Industry Professional","35-54","Bachelors degree","Female","One","$50,001 to $100,000","94501"
"2018/04/26 5:33:05 PM MDT","Yes","21 or more times per year","More than fifty items","One or fewer items","Young Adult Novels;Adult Novels;Audiobooks","2","Not Very Important","Moderately Important","Not At All Important","Extremely Important","Very Important","Moderately Important","Not At All Important","Not At All Important","Not Very Important","Not At All Important","Moderately Important","Not Very Important","","","Public Librarian","35-54","Masters Degree and/or professional license","Female","One","$50,001 to $100,000","44720"
"2018/04/26 5:36:14 PM MDT","Yes","21 or more times per year","More than fifty items","21-50 items","Young Adult Novels","4","Extremely Important","Extremely Important","Extremely Important","Extremely Important","Moderately Important","Not At All Important","Not At All Important","Not At All Important","Very Important","Not Very Important","Moderately Important","Very Important","","","Public Librarian","35-54","Masters Degree and/or professional license","Female","2-3","$50,001 to $100,000","60099"
"2018/04/26 5:42:48 PM MDT","Yes","21 or more times per year","More than fifty items","6-20 items","Adult Novels","3","Very Important","Not At All Important","Not At All Important","Not Very Important","Not Very Important","Moderately Important","Not At All Important","Not At All Important","Very Important","Very Important","Moderately Important","Moderately Important","","","Public Librarian","35-54","Masters Degree and/or professional license","Female","2-3","$101,000 to $250,000","94110"
"2018/04/26 5:53:40 PM MDT","Yes","1-3 times per year","6-20 items","2-5 items","Young Adult Novels;Adult Novels;Short Fiction","2","Moderately Important","Not Very Important","Very Important","Moderately Important","Moderately Important","Moderately Important","Not At All Important","Not At All Important","Not Very Important","Moderately Important","Moderately Important","","","","Primary or Secondary Teacher or School Librarian","35-54","Bachelors degree","Female","4-6","$50,001 to $100,000","63116"
"2018/04/26 5:54:24 PM MDT","Yes","4-10 times per year","6-20 items","2-5 items","Young Adult Novels;Adult Novels","4","Very Important","Moderately Important","Very Important","Extremely Important","Very Important","Very Important","Moderately Important","Not At All Important","Moderately Important","Moderately Important","Extremely Important","Moderately Important","","","","25-34","Masters Degree and/or professional license","Female","2-3","$101,000 to $250,000","14221"
"2018/04/26 5:54:47 PM MDT","Yes","21 or more times per year","More than fifty items","6-20 items","Young Adult Novels;Adult Novels;Short Fiction;Audiobooks","4","Very Important","Moderately Important","Very Important","Very Important","Very Important","Very Important","Very Important","Very Important","Very Important","Moderately Important","Very Important","Very Important","","","Public Librarian","25-34","Masters Degree and/or professional license","Female","2-3","$50,001 to $100,000","52632"
"2018/04/26 5:55:59 PM MDT","Yes","21 or more times per year","More than fifty items","21-50 items","Young Adult Novels;Adult Novels;Short Fiction;Audiobooks","4","Moderately Important","Moderately Important","Very Important","Extremely Important","Moderately Important","Moderately Important","Not Very Important","Not Very Important","Moderately Important","Not Very Important","Not At All Important","Not Very Important","","","Public Librarian","25-34","Bachelors degree","Female","2-3","$20,000 to $50,000","44811"
"2018/04/26 6:12:05 PM MDT","","","","","Adult Novels","7","Moderately Important","Not Very Important","Not Very Important","Moderately Important","Moderately Important","Not At All Important","Not At All Important","Not At All Important","Not Very Important","Not Very Important","","Not Very Important","","","","35-54","Masters Degree and/or professional license","Female","One","$101,000 to $250,000","90049"
"2018/04/26 6:12:24 PM MDT","Yes","21 or more times per year","More than fifty items","21-50 items","Young Adult Novels","5","Not Very Important","Not At All Important","Very Important","Moderately Important","Moderately Important","Very Important","Very Important","Not Very Important","Not Very Important","Not Very Important","Very Important","Not At All Important","","","Public Librarian","35-54","Masters Degree and/or professional license","Female","2-3","$50,001 to $100,000","11703"
"2018/04/26 6:13:04 PM MDT","Yes","11-20 times per year","21-50 items","2-5 items","Adult Novels;Audiobooks","2","Not At All Important","Not Very Important","Not At All Important","Not At All Important","Not At All Important","Not At All Important","Not At All Important","Not At All Important","Moderately Important","Extremely Important","Not Very Important","Moderately Important","Very Important","I am reading books on the various ""greatest"" books lists (Modern Library, Time Magazine, Books to Read Before You Die, etc.","Humanities Scholar or Academic Librarian","Over 64","Doctorate","Male","One","$50,001 to $100,000","58102"
"2018/04/26 6:16:08 PM MDT","Yes","21 or more times per year","More than fifty items","More than fifty items","Young Adult Novels;Adult Novels;Audiobooks","3","Moderately Important","Moderately Important","Moderately Important","Very Important","Very Important","Very Important","Very Important","Not At All Important","Very Important","Very Important","Very Important","Very Important","","","Public Librarian","25-34","Masters Degree and/or professional license","Male","2-3","$101,000 to $250,000","48038"
"2018/04/26 6:17:06 PM MDT","Yes","21 or more times per year","More than fifty items","21-50 items","Young Adult Novels;Adult Novels;Audiobooks","3","Not Very Important","Moderately Important","Extremely Important","Moderately Important","Extremely Important","Very Important","Moderately Important","Not At All Important","Very Important","Not At All Important","Very Important","Not Very Important","","","Public Librarian","25-34","Masters Degree and/or professional license","Female","2-3","$20,000 to $50,000","43015"
"2018/04/26 6:19:08 PM MDT","Yes","21 or more times per year","21-50 items","6-20 items","Young Adult Novels;Adult Novels;Audiobooks","2","Moderately Important","Moderately Important","Not Very Important","Moderately Important","Not Very Important","Very Important","Not At All Important","Not Very Important","Moderately Important","Not At All Important","Moderately Important","Not Very Important","","","Public Librarian","35-54","Some College","Female","2-3","$50,001 to $100,000","52237"
"2018/04/26 6:20:41 PM MDT","Yes","4-10 times per year","6-20 items","6-20 items","Young Adult Novels;Adult Novels;Short Fiction","3","Very Important","Very Important","Moderately Important","Very Important","Very Important","Moderately Important","Not Very Important","Not At All Important","Not Very Important","Not Very Important","Moderately Important","Moderately Important","","","Humanities Scholar or Academic Librarian","25-34","Masters Degree and/or professional license","Female","One","$20,000 to $50,000","46208"
"2018/04/26 6:23:43 PM MDT","Yes","11-20 times per year","21-50 items","6-20 items","Adult Novels;Short Fiction;Audiobooks","3","Not Very Important","Very Important","Not At All Important","Moderately Important","Very Important","Very Important","Extremely Important","Not Very Important","Moderately Important","Very Important","Very Important","Moderately Important","","","","25-34","Masters Degree and/or professional license","Male","4-6","$50,001 to $100,000","50265"
"2018/04/26 6:26:03 PM MDT","Yes","21 or more times per year","More than fifty items","6-20 items","Young Adult Novels;Adult Novels;Audiobooks","5","Moderately Important","Moderately Important","Moderately Important","Moderately Important","Moderately Important","Moderately Important","Not Very Important","Very Important","Moderately Important","Not Very Important","Moderately Important","Not Very Important","","","Public Librarian","35-54","Masters Degree and/or professional license","Female","2-3","Don't know or prefer not to say","60136"
"2018/04/26 6:28:39 PM MDT","Yes","4-10 times per year","6-20 items","One or fewer items","Adult Novels","1","Moderately Important","Very Important","Not At All Important","Not At All Important","Moderately Important","Moderately Important","Not At All Important","Very Important","Extremely Important","Very Important","Very Important","Very Important","","","Primary or Secondary Teacher or School Librarian","Over 64","Masters Degree and/or professional license","Female","2-3","$50,001 to $100,000","85737"
"2018/04/26 6:35:13 PM MDT","Yes","4-10 times per year","2-5 items","2-5 items","Young Adult Novels;Adult Novels;Short Fiction;Audiobooks","6","Moderately Important","Moderately Important","Not Very Important","Extremely Important","Moderately Important","Moderately Important","Not At All Important","Not At All Important","Not Very Important","Not Very Important","Not Very Important","Moderately Important","","","","35-54","Masters Degree and/or professional license","Female","4-6","$50,001 to $100,000","57701"
"2018/04/26 6:35:27 PM MDT","Yes","21 or more times per year","More than fifty items","21-50 items","Young Adult Novels;Adult Novels","1","Moderately Important","","Extremely Important","Very Important","Extremely Important","Very Important","Not At All Important","Moderately Important","Moderately Important","Not Very Important","Very Important","Moderately Important","","","Public Librarian","35-54","Masters Degree and/or professional license","Female","2-3","Don't know or prefer not to say","49464"
"2018/04/26 6:37:25 PM MDT","Yes","21 or more times per year","More than fifty items","6-20 items","Young Adult Novels;Adult Novels;Short Fiction;Audiobooks","2","Not Very Important","Moderately Important","Very Important","Moderately Important","Not Very Important","Moderately Important","Not At All Important","Not At All Important","Not Very Important","Not At All Important","Not Very Important","Not Very Important","Extremely Important","If I have heard my friends talk about it or recommend it; if the cover/back description is appealing; if it is available as an audiobook (having the audiobook is a HUGE plus for me); if it's a graphic novel - for print books, this is my preferred format regardless of genre","Primary or Secondary Teacher or School Librarian","25-34","Masters Degree and/or professional license","Female","2-3","$50,001 to $100,000","27282"
"2018/04/26 6:38:04 PM MDT","Yes","21 or more times per year","More than fifty items","21-50 items","Young Adult Novels","4","Moderately Important","Not Very Important","Extremely Important","Very Important","Very Important","Very Important","Moderately Important","Not Very Important","Not Very Important","Not Very Important","Very Important","Not At All Important","Not At All Important","No","Public Librarian","18-24","Masters Degree and/or professional license","Female","2-3","$20,000 to $50,000","08701"
"2018/04/26 6:44:01 PM MDT","Yes","21 or more times per year","More than fifty items","2-5 items","Young Adult Novels;Adult Novels","3","Very Important","Extremely Important","Not Very Important","Very Important","Not At All Important","Not At All Important","Moderately Important","Not Very Important","Extremely Important","Moderately Important","Moderately Important","Moderately Important","","","Public Librarian","35-54","Masters Degree and/or professional license","Female","One","$50,001 to $100,000","44102"
"2018/04/26 6:44:11 PM MDT","Yes","21 or more times per year","More than fifty items","6-20 items","Adult Novels","3","Not Very Important","Extremely Important","Moderately Important","Extremely Important","Extremely Important","Moderately Important","Not Very Important","Not At All Important","Not Very Important","Not Very Important","Moderately Important","Moderately Important","","","Public Librarian","25-34","Bachelors degree","Female","2-3","$20,000 to $50,000","29210"
"2018/04/26 6:46:30 PM MDT","Yes","21 or more times per year","More than fifty items","More than fifty items","Young Adult Novels","4","Very Important","Not Very Important","Extremely Important","Very Important","Moderately Important","Very Important","Not At All Important","Not Very Important","Not Very Important","Not Very Important","Not Very Important","Not Very Important","","","Public Librarian","25-34","Masters Degree and/or professional license","Female","4-6","$50,001 to $100,000","11756"
"2018/04/26 6:51:11 PM MDT","Yes","21 or more times per year","More than fifty items","More than fifty items","Young Adult Novels;Adult Novels;Audiobooks","4","Very Important","Very Important","Very Important","Not Very Important","Very Important","Not Very Important","Not Very Important","Not At All Important","Moderately Important","Moderately Important","Very Important","Not Very Important","","","Public Librarian","35-54","Masters Degree and/or professional license","Female","4-6","$50,001 to $100,000","90065"
"2018/04/26 6:54:37 PM MDT","Yes","21 or more times per year","More than fifty items","More than fifty items","Young Adult Novels;Adult Novels","1","Moderately Important","Moderately Important","Not Very Important","Extremely Important","Very Important","Very Important","Not At All Important","Not At All Important","Not At All Important","Not At All Important","Not Very Important","Not At All Important","Not At All Important","","Public Librarian","25-34","Masters Degree and/or professional license","Female","2-3","$50,001 to $100,000","22041"
"2018/04/26 7:00:42 PM MDT","Yes","21 or more times per year","More than fifty items","6-20 items","Young Adult Novels;Adult Novels","2","Moderately Important","Not At All Important","Moderately Important","Moderately Important","Very Important","Moderately Important","Not Very Important","Very Important","Very Important","Not Very Important","Very Important","Very Important","Extremely Important","Recommended by a friend","Public Librarian","25-34","Masters Degree and/or professional license","Female","4-6","$20,000 to $50,000","45209"
"2018/04/26 7:04:32 PM MDT","Yes","21 or more times per year","21-50 items","6-20 items","Young Adult Novels;Adult Novels;Short Fiction;Audiobooks","3","Not Very Important","Moderately Important","Very Important","Moderately Important","Not Very Important","Very Important","Moderately Important","Not Very Important","Not Very Important","Moderately Important","Moderately Important","Not Very Important","","","Public Librarian","35-54","High school diploma or GED","Female","4-6","$20,000 to $50,000","62257"
